X,Y,ux,uy,sigma_xx,sigma_yy,sigma_xy,magnitude
0.1010101,1.6969697,-0.0026514418,6.263703e-05,-25.92598,5.9834566,-7.1602545,0.0026521815
0.1010101,1.7373737,-0.0027083196,0.00010753237,-24.521753,9.01985,-7.548001,0.0027104535
0.1010101,1.7777778,-0.0027606748,0.0001584664,-23.151026,12.13464,-7.9517503,0.0027652192
0.1010101,1.8181819,-0.0028080307,0.00021575205,-21.830328,15.308185,-8.366322,0.002816307
0.1010101,1.8585858,-0.0028496832,0.0002794601,-20.575953,18.519682,-8.786363,0.0028633534
0.1010101,1.8989899,-0.0028852895,0.0003498327,-19.401814,21.74875,-9.206916,0.00290642
0.1010101,1.939394,-0.0029140823,0.00042686984,-18.319975,24.974575,-9.6232605,0.0029451814
0.1010101,1.979798,-0.0029356182,0.000510687,-17.339838,28.17773,-10.030814,0.0029797072
0.1010101,2.020202,-0.002949182,0.0006014034,-16.469936,31.338312,-10.425408,0.0030098772
0.1010101,2.060606,-0.0029543228,0.000698952,-15.715664,34.437553,-10.803212,0.0030358783
0.1010101,2.10101,-0.002950497,0.0008032061,-15.080182,37.45753,-11.16113,0.0030578705
0.1010101,2.1414142,-0.0029371642,0.0009142179,-14.565057,40.381535,-11.496278,0.0030761547
0.1010101,2.1818182,-0.0029137842,0.001031734,-14.170203,43.193245,-11.806112,0.0030910538
0.1010101,2.2222223,-0.0028799586,0.0011556912,-13.892084,45.87884,-12.088923,0.0031031892
0.1010101,2.2626262,-0.0028351806,0.0012857728,-13.727714,48.42429,-12.342976,0.003113111
0.1010101,2.3030303,-0.002779048,0.0014218036,-13.670169,50.818382,-12.567372,0.0031216394
0.1010101,2.3434343,-0.0027111955,0.0015635509,-13.711809,53.050602,-12.761584,0.00312974
0.1010101,2.3838384,-0.0026312396,0.0017105965,-13.845483,55.11128,-12.925029,0.003138401
0.1010101,2.4242425,-0.002538994,0.0018627178,-14.060965,56.99303,-13.05792,0.0031490012
0.1010101,2.4646466,-0.0024340637,0.0020194445,-14.347545,58.68958,-13.16051,0.003162724
0.1010101,2.5050504,-0.0023162328,0.0021803826,-14.694553,60.195805,-13.233481,0.003181038
0.1010101,2.5454545,-0.002185408,0.0023452602,-15.090807,61.508038,-13.277593,0.0032056596
0.1010101,2.5858586,-0.0020412616,0.0025135092,-15.525031,62.623634,-13.293771,0.0032379744
0.1010101,2.6262627,-0.0018839128,0.0026847254,-15.984705,63.5418,-13.2831135,0.003279768
0.1010101,2.6666667,-0.0017130487,0.0028584264,-16.458687,64.2621,-13.246911,0.003332437
0.1010101,2.7070708,-0.0015287548,0.0030341828,-16.935946,64.78525,-13.186274,0.0033975516
0.1010101,2.7474747,-0.0013309754,0.0032114144,-17.405361,65.11349,-13.102734,0.0034763024
0.1010101,2.7878788,-0.0011196546,0.0033897962,-17.85529,65.250145,-12.997514,0.0035699224
0.1010101,2.8282828,-0.00089496,0.003568706,-18.277075,65.19799,-12.872116,0.0036792143
0.1010101,2.868687,-0.000656832,0.0037476616,-18.659214,64.96291,-12.727853,0.003804786
0.1010101,2.909091,-0.00040538236,0.0039261887,-18.993362,64.54952,-12.566276,0.0039470615
0.1010101,2.9494948,-0.00014073029,0.0041038273,-19.270468,63.96436,-12.388579,0.00410624
0.1010101,2.989899,0.00013704598,0.0042801034,-19.482887,63.213676,-12.196045,0.0042822966
0.1010101,3.030303,0.00042778254,0.004454531,-19.623438,62.30499,-11.990218,0.004475024
0.1010101,3.070707,0.00073137134,0.00462664,-19.683863,61.2465,-11.772168,0.0046840906
0.1010101,3.1111112,0.001047641,0.0047960067,-19.658298,60.04626,-11.543299,0.0049090968
0.1010101,3.1515152,0.0013763905,0.004962138,-19.54135,58.71275,-11.30492,0.0051494916
0.1010101,3.191919,0.0017175004,0.005124703,-19.327248,57.25491,-11.058008,0.0054048486
0.1010101,3.2323232,0.0020707846,0.005283354,-19.01085,55.68249,-10.803865,0.0056746784
0.1010101,3.2727273,0.0024359562,0.0054375194,-18.588001,54.00462,-10.543919,0.00595823
0.1010101,3.3131313,0.0028130226,0.005587049,-18.054253,52.230873,-10.278986,0.0062552546
0.1010101,3.3535354,0.0032017045,0.005731371,-17.406364,50.37109,-10.01027,0.006565023
0.1010101,3.3939395,0.0036016963,0.005870452,-16.641052,48.435223,-9.738923,0.0068872655
0.1010101,3.4343433,0.0040129684,0.006003665,-15.754582,46.433037,-9.466103,0.007221351
0.1010101,3.4747474,0.0044351704,0.0061310744,-14.745106,44.3742,-9.192563,0.007567087
0.1010101,3.5151515,0.0048682764,0.006252191,-13.610006,42.26857,-8.919817,0.007924015
0.1010101,3.5555556,0.0053119697,0.0063668154,-12.346948,40.125607,-8.64848,0.008291765
0.1010101,3.5959597,0.0057660937,0.0064747436,-10.954732,37.954773,-8.380038,0.008670072
0.1010101,3.6363637,0.0062305294,0.006575806,-9.431062,35.76545,-8.114945,0.009058737
0.1010101,3.6767676,0.0067049973,0.0066698305,-7.775191,33.566505,-7.854359,0.009457464
0.1010101,3.7171717,0.0071892627,0.0067566205,-5.986054,31.366404,-7.59934,0.009865972
0.1010101,3.7575758,0.0076832436,0.006836133,-4.0627313,29.173761,-7.3504887,0.010284209
0.1010101,3.7979798,0.008186761,0.006908182,-2.00419,26.996883,-7.1088696,0.010711958
0.1010101,3.838384,0.008699533,0.0069726706,0.1895776,24.843605,-6.875224,0.011148991
